"Name","SWF","ExportName","ParticleEmitter","CameraShake","AttachToParent","Looping","IsoLayer","Targeted","MaxCount","Sound","Volume","MinPitch","MaxPitch","LowEndSound","LowEndVolume","LowEndMinPitch","LowEndMaxPitch","Beam"
"String","String","String","String","int","boolean","boolean","String","boolean","int","String","int","int","int","String","int","int","int","boolean"
"Collect Gold",,,"Collect Gold",,,,"top",,,"sfx/coins_collect_01.wav",70,100,100,"sfx/coins_collect_01.wav",70,100,100,
"Collect Elixir",,,"Collect Elixir",,,,"top",,,"sfx/elixir_collect_02.wav",70,100,100,"sfx/elixir_collect_02.wav",70,100,100,
"Collect Diamonds",,,"Collect Diamonds",,,,"top",,,"sfx/collect_diamonds_01.wav",70,100,100,"sfx/collect_diamonds_01.wav",60,100,100,
"Steal Gold",,,"Steal Gold",,,,"top",,,"sfx/coin_steal_02.wav",70,100,100,"sfx/coin_steal_02.wav",60,100,100,
"Steal Elixir",,,"Steal Elixir",,,,"top",,,"sfx/elixir_steal_03.wav",60,100,100,"sfx/elixir_steal_03.wav",60,100,100,
"XP Gain",,,"XP Gain",,,,"top",,,"sfx/xp_gain_06.wav",80,100,100,"sfx/xp_gain_06.wav",70,100,100,
"Alliance",,,,,,,,,,"sfx/alliance_jingle_v2.wav",90,75,75,"sfx/xp_gain_06.wav",80,100,100,
"Building Ready",,,"Building Ready",,,,"top",,,"sfx/building_finished_01.wav",80,100,100,"sfx/xp_gain_06.wav",80,100,100,
"Building Destroyed",,,"Building Destroyed",,,,"objects",,,"sfx/building_destroyed_01.wav",80,85,95,"sfx/building_destroyed_01.wav",80,85,95,
,,,"Smoke",,,,,,,,,,,,,,,
,,,"Grass",,,,,,,,,,,,,,,
"Elixir Storage Destroyed",,,"Elixir Storage Destroyed",,,,"objects",,,"sfx/building_destroyed_01.wav",80,85,95,"sfx/building_destroyed_01.wav",80,85,95,
,,,"Smoke",,,,,,,,,,,,,,,
,,,"Grass",,,,,,,,,,,,,,,
"Start Building",,,"Smoke",,"true",,"top",,,"sfx/building_construct_07.wav",80,75,75,"sfx/building_construct_07.wav",80,75,75,
"NoRoomForTroop",,,,,,,,,,,,,,,,,,
"TrainingFinished",,,"Dust",,"true",,"top",,,"sfx/training_finished_03.wav",80,100,100,"sfx/training_finished_03.wav",80,100,100,
"Sell Item",,,,,,,,,,"sfx/sell_item_01.wav",60,100,100,"sfx/sell_item_01.wav",50,100,100,
"Moving",,,,,,,,,,"sfx/moving_07.wav",50,110,115,"sfx/moving_07.wav",40,110,115,
"Illegal Position",,,,,,,,,,"sfx/bad_move_06.wav",60,100,100,"sfx/bad_move_06.wav",40,100,100,
"Clear Tombstone",,,"Grass",,,,"objects",,,"sfx/clear_tombstone_01.wav",70,100,100,,,,,
,,,"Dust2",,,,"objects",,,,,,,,,,,
"Generic Pick Up",,,,,,,,,,"sfx/wall_pickup_01.wav",50,100,100,"sfx/wall_pickup_01.wav",40,100,100,
"Generic Placing",,,"Place",,"true",,"top",,,"sfx/cannon_drop2.wav",50,100,100,"sfx/cannon_drop2.wav",40,100,100,
"Generic Hit",,,"DefenceHit",,,,"objects",,,"sfx/barbarian_hit_stuff.wav",55,100,100,"sfx/barbarian_hit_stuff.wav",40,100,100,
"Trap Eject",,,"Trap",50,,,"objects",,,"sfx/trap_eject_01v2.wav",80,100,100,"sfx/trap_eject_01v2.wav",70,100,100,
,,,"Grass",,,,"objects",,,,,,,,,,,
,,,"Grass",,,,"objects",,,,,,,,,,,
"exBomb Exposion",,,"Smoke",50,,,"objects",,,"sfx/explosion_02.wav",60,100,100,"sfx/explosion_02.wav",60,100,100,
,,,"Grass",,,,"objects",,,,,,,,,,,
,,,"Ring",,,,"objects",,,,,,,,,,,
"IsoTestFX",,,"IsoTestFX",,,,"objects",,,"sfx/explosion_02.wav",80,100,100,"sfx/explosion_02.wav",60,100,100,
"Barbarian Deploy",,,"Deploy",,,,"objects",,,"sfx/barb_deploy_11.wav",40,100,100,"sfx/gob_attack_01.wav",40,100,100,
,,,,,,,"objects",,,"sfx/barb_deploy_11v2.wav",40,100,100,,,,,
,,,,,,,"objects",,,"sfx/barb_deploy_11v3.wav",40,100,100,,,,,
