"Name","Dependencies","Deprecated","OpenAchievements","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","AttackPlayer","ChangeName","Delay","TrainTroops","ShowMap","TutorialText","TutorialStep","Darken","TutorialTextBox","SpeechBubble","RightAlignTextBox","ButtonText","TutorialMusic","TutorialSound","RewardResource","RewardResourceCount","RewardXP","RewardTroop","RewardTroopCount","CustomData"
"String","String","boolean","boolean","String","int","int","String","String","boolean","boolean","int","int","boolean","String","int","boolean","String","String","boolean","String","String","String","String","int","int","String","int","int"
"step1 cannon",,,,"Cannon",1,1,,,,,2000,,,"TID_TUTORIAL_CANNON_1",,"true","tutorial_friendly","bubble_no_button_left","false",,"music/fem_talk.mp3","sfx/tutor_happy_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_2",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_DEFEND_1b",,"true","tutorial_enemy","bubble_no_button_right","true",,"music/goblin_talk.mp3","sfx/goblin_talk_4.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_3",1,,"tutorial_friendly_scared","bubble_no_button_left","false",,"music/fem_talk_scared.mp3","sfx/tutor_urgency_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_4",2,,"tutorial_friendly_scared","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_CANNON_5",3,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
"step2 defend","step1 cannon",,,,,,"TutorialNPC",,,,,,,"TID_TUTORIAL_DEFEND_1",1,"true","tutorial_enemy","bubble_with_button_right","true","TID_TUTORIAL_DEFEND_BUTTON","music/gob_attack.mp3","sfx/goblin_talk_3.wav",,,,"Wizard",5,
,,,,,,,,,,,1000,,,"TID_TUTORIAL_DEFEND_2",,"true","tutorial_friendly","bubble_no_button_left","false",,"music/fem_talk.mp3","sfx/tutor_relief_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_DEFEND_4",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
"step3 first attack","step2 defend",,,,,,,"TutorialNPC",,,,,,"TID_TUTORIAL_ATTACK_NPC_1",1,,"tutorial_friendly","bubble_with_button_left","false","TID_TUTORIAL_ATTACK_NPC_BUTTON",,"sfx/tutor_hey_01.wav",,,,,,0
"step4 second builder","step3 first attack",,,"Worker Building",1,2,,,,,,,,"TID_TUTORIAL_WORKER_1",,,"tutorial_friendly","bubble_no_button_left","false",,"music/home_music.mp3","sfx/tutor_wow_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_WORKER_2",1,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
"step5 elixir pump","step4 second builder",,,"Elixir Pump",1,1,,,,,,,,"TID_TUTORIAL_ELIXIR_1",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_urgency_02.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_ELIXIR_2",1,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
"step6 elixir storage","step5 elixir pump",,,"Elixir Storage",1,1,,,,,,,,"TID_TUTORIAL_ELIXIR_STORAGE_1",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav","Elixir",1500,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_ELIXIR_STORAGE_2",1,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_urgency_04.wav",,,,,,
"step7 gold storage","step6 elixir storage",,,"Gold Storage",1,1,,,,,,,,"TID_TUTORIAL_GOLD_STORAGE_1",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav","Gold",1500,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_GOLD_STORAGE_2",1,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_DEFEND_5",,"true","tutorial_enemy","bubble_no_button_right","true","TID_TUTORIAL_ATTACK_NPC_BUTTON","music/gob_attack.mp3","sfx/goblin_talk_2.wav",,,,,,
"step8 barrack","step7 gold storage",,,"Barrack",1,1,,,,,,,,"TID_TUTORIAL_BARRACK_1",1,,"tutorial_friendly_scared","bubble_no_button_left","false",,"music/fem_talk_scared.mp3","sfx/tutor_urgency_05.wav",,,,,,
"step9 train warriors","step8 barrack",,,,,,,,,,,15,,"TID_TUTORIAL_TRAIN_1",1,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_TRAIN_2",2,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_urgency_04.wav",,,,,,
"step10 second attack","step9 train warriors",,,,,,,"TutorialNPC2",,,,,"true","TID_TUTORIAL_ATTACK_NPC_2",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_talk_aha_01.wav",,,,,,1
"step11 change name","step10 second attack",,,,,,,,,"true",,,,"TID_TUTORIAL_CHANGE_NAME",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
"step12 upgrade town hall","step11 change name",,,"Town Hall",2,1,,,,,,,,"TID_TUTORIAL_TOWN_HALL_1",1,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_happy_01.wav","Gold",1000,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_TOWN_HALL_2",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,
"step13 achievements","step12 upgrade town hall",,"true",,,,,,,,,,,"TID_TUTORIAL_ACHIEVEMENTS",1,,"tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_talk_yeah_01.wav",,,,,,
,,,,,,,,,,,,,,"TID_TUTORIAL_ACHIEVEMENTS2",,"true","tutorial_friendly","bubble_no_button_left","false",,,"sfx/tutor_talk_yeah_01.wav",,,,,,
